made_at_utc,target_minute_utc,product,p_up,px_at_call,px_at_target,outcome,note
2026-08-12T08:25:26,2026-08-12T08:26,BTC-USD,0.5000,63764.58,63757.66,right,"{""f"": [1.0, -0.0006209612089735858, -0.06581422601983428, -0.3084816009142014, 0.0, 0.0], ""sig"": 0.00025256}"
2026-08-12T08:26:28,2026-08-12T08:27,BTC-USD,0.4950,63757.66,63749.00,right,"{""f"": [1.0, 0.0043406383383384544, 0.7450198191786231, -0.186680213922089, 0.0, 0.0], ""sig"": 0.00025294}"
2026-08-12T14:01:30,2026-08-12T14:02,BTC-USD,0.4950,63727.19,63648.00,right,"{""f"": [1.0, -0.4730643643989818, -0.8440488518547549, 0.8717046122476917, 0.0, 0.0], ""sig"": 0.00056714}"
2026-08-12T14:02:30,2026-08-12T14:03,BTC-USD,0.4775,63648.00,63567.01,right,"{""f"": [1.0, -1.3359421967174567, -2.63515220907911, 1.2558090773557544, 0.0, 0.0], ""sig"": 0.00057922}"
2026-08-12T14:03:30,2026-08-12T14:04,BTC-USD,0.4185,63567.01,63592.17,wrong,"{""f"": [1.0, -1.0170235941585115, -3.099597422777801, 1.544713290710396, 0.0, 0.0], ""sig"": 0.00060168}"
2026-08-12T14:04:31,2026-08-12T14:05,BTC-USD,0.4956,63592.17,63593.99,wrong,"{""f"": [1.0, -0.6705166647310418, -2.1377756563981065, 1.2489498961498111, 0.0, 0.0], ""sig"": 0.00060003}"
2026-08-12T14:05:31,2026-08-12T14:06,BTC-USD,0.5267,63593.99,63570.39,wrong,"{""f"": [1.0, -0.17684862470815674, -1.7669189534265168, 1.1097531547651631, 0.0, 0.0], ""sig"": 0.00059749}"
2026-08-12T14:06:31,2026-08-12T14:07,BTC-USD,0.4969,63570.39,63596.19,wrong,"{""f"": [1.0, -0.1962357899661653, -1.5135302603051877, 1.1406225525503533, 0.0, 0.0], ""sig"": 0.00058915}"
2026-08-12T14:07:32,2026-08-12T14:08,BTC-USD,0.4977,63596.19,63585.72,right,"{""f"": [1.0, 1.3794242571745736, -0.11447200844231446, 0.8263561907897151, 0.0, 0.0], ""sig"": 0.00059767}"
2026-08-12T14:08:32,2026-08-12T14:09,BTC-USD,0.4938,63585.72,63682.81,wrong,"{""f"": [1.0, -0.04251282322862519, -0.38063045917270133, 0.7765553813062395, 0.0, 0.0], ""sig"": 0.00059188}"
2026-08-12T14:09:32,2026-08-12T14:10,BTC-USD,0.4682,63682.81,63711.62,wrong,"{""f"": [1.0, 1.1839859581831456, 0.9440690635182577, 0.06438686048494019, 0.0, 0.0], ""sig"": 0.0006111}"
2026-08-12T14:10:32,2026-08-12T14:11,BTC-USD,0.4788,63711.62,63808.60,wrong,"{""f"": [1.0, 0.612573752895554, 1.5282376826773492, -0.17341053144076765, 0.0, 0.0], ""sig"": 0.00061557}"
2026-08-12T14:11:32,2026-08-12T14:12,BTC-USD,0.4918,63808.60,63805.73,right,"{""f"": [1.0, 0.7605537496989878, 2.9326904989475437, -0.7537405552458225, 0.0, 0.0], ""sig"": 0.0006342}"
2026-08-12T14:12:33,2026-08-12T14:13,BTC-USD,0.4500,63805.73,63781.04,right,"{""f"": [1.0, -0.361918311851982, 2.407575005836395, -0.7526503196612542, 0.0, 0.0], ""sig"": 0.00063693}"
2026-08-12T14:13:33,2026-08-12T14:14,BTC-USD,0.4401,63781.04,63734.01,right,"{""f"": [1.0, -0.7021449975744406, 1.6099955711768374, -0.6238359178725092, 0.0, 0.0], ""sig"": 0.00062911}"
2026-08-12T14:14:33,2026-08-12T14:15,BTC-USD,0.4627,63734.01,63709.21,right,"{""f"": [1.0, -0.5489663135880604, 0.5181824462326794, -0.34962579881771666, 0.0, 0.0], ""sig"": 0.00062868}"
2026-08-12T14:15:33,2026-08-12T14:16,BTC-USD,0.5049,63709.21,63702.18,wrong,"{""f"": [1.0, -0.5482084114276915, -0.7710744048696958, -0.2075814156289776, 0.0, 0.0], ""sig"": 0.00062436}"
