date,ofi,trade_rows,buy_vol,sell_vol,source
2026-07-28,-0.178050,502946,2697.4471,3866.0814,gh-release data-2026-07 (BTC-USD_2026-07.tar)
2026-07-29,-0.054254,591624,3858.534658,4301.237088,gz-archive
2026-07-30,+0.202746,422621,4857.980461,3220.168167,gz-archive
2026-08-01,-0.070572,298423,1348.499999,1553.285677,gz-archive
2026-08-02,-0.065957,90883,514.692345,587.382203,gz-archive
2026-08-08,+0.037017,150145,1102.760057,1024.032545,gz-archive
2026-08-09,+0.093907,90376,645.774003,534.900478,gz-archive
2026-08-15,-0.203410,187462,349.313514,527.708672,gz-archive
2026-08-16,+0.008464,298009,1288.288932,1266.663909,gz-archive
2026-08-18,+0.089823,747478,2601.118208,2172.352808,gz-archive
2026-08-22,+0.042809,1863596,2716.118172,2493.117245,gz-archive
2026-08-25,+0.042690,804558,3337.060937,3063.809083,gz-archive
